1
  0.000 	  0.000 	  0.150
  0.856 	  0.000 	  0.048 
  1.884 	  0.000 	 -0.046 
  3.939 	  0.000 	 -0.158 
  4.966 	  0.000 	 -0.184 
  5.994 	  0.000 	 -0.195 
  8.049 	  0.000 	 -0.192 
  9.590 	  0.000 	 -0.163 
  10.618 	  0.000 	 -0.122 
  11.645 	  0.000 	 -0.059 
  13.700 	  0.000 	  0.150 

  0.000 	  0.000 	  0.150
  0.856 	  0.384 	  0.102 
  1.884 	  0.753 	  0.060 
  2.911 	  1.029 	  0.031 
  3.939 	  1.220 	  0.014 
  4.966 	  1.337 	  0.004 
  5.994 	  1.390 	  0.001 
  7.021 	  1.400 	  0.000 
  8.049 	  1.379 	  0.001 
  9.076 	  1.306 	  0.007 
  10.104 	  1.165 	  0.019
  11.131 	  0.947 	  0.039
  12.330 	  0.581 	  0.079
  13.700 	  0.000 	  0.150

 -0.414 	  0.000 	  0.347
  1.199 	  0.716 	  0.252 
  2.569 	  1.135 	  0.197 
  3.939 	  1.398 	  0.162 
  5.309 	  1.530 	  0.145 
  6.679 	  1.567 	  0.140 
  8.049 	  1.547 	  0.143 
  9.419 	  1.442 	  0.156 
  10.789 	  1.214 	  0.187 
  12.159 	  0.836 	  0.236 
  14.114 	  0.000 	  0.347 

 -0.672 	  0.000 	  0.660
  1.199 	  0.823 	  0.506
  2.569 	  1.233 	  0.429
  3.939 	  1.490 	  0.381
  5.994 	  1.647 	  0.352 
  7.364 	  1.653 	  0.350
  8.734 	  1.598 	  0.361
  10.104 	  1.439 	  0.391
  11.474 	  1.146 	  0.446
  12.844 	  0.694 	  0.530
  14.372 	  0.000 	  0.660

 -0.771 	  0.000 	  1.056
  0.685 	  0.662 	  0.844 
  2.398 	  1.219 	  0.666 
  4.110 	  1.536 	  0.565 
  5.822 	  1.664 	  0.524 
  7.535 	  1.672 	  0.522 
  9.248 	  1.575 	  0.553 
  10.960 	  1.300 	  0.640 
  12.672 	  0.795 	  0.802 
  14.471 	  0.000 	  1.056

 -0.590 	  0.000 	  1.430
  1.541 	  0.903 	  1.078
  3.254 	  1.341 	  0.908
  4.966 	  1.560 	  0.823
  6.679 	  1.617 	  0.800 
  8.391 	  1.582 	  0.814
  10.104 	  1.400 	  0.885
  11.816 	  1.010 	  1.037
  13.358 	  0.440 	  1.258
  14.290 	  0.000 	  1.430

 -0.053 	  0.000 	  1.683
  0.856 	  0.421 	  1.498 
  2.911 	  1.071 	  1.211 
  4.966 	  1.375 	  1.077 
  7.021 	  1.436 	  1.050 
  9.076 	  1.344 	  1.090 
  11.131 	  0.989 	  1.247 
  13.186 	  0.272 	  1.563 
  13.753 	  0.000 	  1.683

EOF
